"X","ENTREZID","logFC","logCPM","LR","PValue","FDR","SYMBOL"
11687,255043,-4.50232455286751,3.22049138679605,15.2621840550624,9.35711881383622e-05,0.0107116372227746,"TMEM86B"
11711,255394,-4.80513926685957,7.21946511994222,21.789371766785,3.04281028975956e-06,0.000654434728229348,"TCP11L2"
11721,2556,9.06683689299826,4.05954673245474,12.090001401062,0.000506929362117508,0.0377873735799516,"GABRA3"
11726,2557,9.69141690183539,4.59178514972716,11.4162298255998,0.000728052871242599,0.0476624946210571,"GABRA4"
11741,255928,8.63781702544541,3.76977222873637,12.1572382977587,0.00048897726399732,0.0369432696820398,"SYT14"
11809,257194,10.9066590494527,5.79640693833609,16.3133942301857,5.36831563068893e-05,0.00717012093154909,"NEGR1"
11846,25793,-5.70204823594824,7.96977526487945,24.4753709016512,7.5265829456141e-07,0.000207456009539791,"FBXO7"
11905,25853,-7.12701225450034,9.77073306612843,26.8974450099386,2.14542315726857e-07,7.08239109707613e-05,"DCAF12"
11932,25893,-7.94443811126373,9.27319812760742,31.8177159610578,1.69341083912794e-08,8.58498816479327e-06,"TRIM58"
12038,25996,-3.96689396842937,5.95543029449446,18.0166139314416,2.1898544723253e-05,0.00345388713718418,"REXO2"
12133,26127,-3.41958925439718,5.96101766609455,13.8626672881354,0.000196666571167044,0.0193195984617038,"FGFR1OP2"
12195,2623,-10.1519772228683,3.70750371593621,43.2083236388909,4.92108857493192e-11,5.82123769342988e-08,"GATA1"
12292,26499,-6.19352465788918,1.94219473162708,14.284197770143,0.000157178868199906,0.0161094154086474,"PLEK2"
12459,26824,-4.29817774835786,7.64588137980786,12.9051529162139,0.000327678761947778,0.0278526947655611,"RNU11"
12462,26829,-3.6313181434326,4.5894182379738,15.3689115788835,8.8431341073275e-05,0.0102892039879929,"RNU5E-1"
12520,27013,-4.31682084878963,6.21638594063636,20.0766864390788,7.43980830137875e-06,0.00140810771784095,"CNPPD1"
12561,27090,-3.90889927384327,4.92913316679686,18.2054032411869,1.9831541733373e-05,0.0032172426846312,"ST6GALNAC4"
12572,27102,-4.16236204144279,8.28932523250737,14.7899327683264,0.000120175350869557,0.0129725407269457,"EIF2AK1"
12628,2719,-5.59679892706647,4.61913939891801,21.0269830997928,4.52860418644552e-06,0.000918336234665631,"GPC3"
12712,27343,-4.01722179587335,4.99200374983284,19.0248203527388,1.29029140695242e-05,0.00224732349959382,"POLL"
12720,27350,-4.23901710614284,3.72644927024777,14.1492981704766,0.000168860086023029,0.0170004775444802,"APOBEC3C"
12755,2766,-4.52917570299393,5.91233564672456,17.3324333635778,3.13785378851958e-05,0.00473849303489739,"GMPR"
12777,2788,8.82472922583076,3.92961879577641,12.8735242734862,0.000333263416329836,0.0279721404199453,"GNG7"
12835,282809,-4.16989911652112,5.54634723206241,16.1925453263035,5.72188433746422e-05,0.00741754777811001,"POC1B"
12866,283120,-10.504550653675,9.85794966519601,46.830500735607,7.73993815123927e-12,1.22076024507602e-08,"H19"
12922,283383,-5.00151889676204,4.76794170894058,23.9432286744497,9.92186462679619e-07,0.000259480580305479,"ADGRD1"
13093,2840,10.4833550869426,5.27105095600824,15.8989276467983,6.68165642545521e-05,0.00827079825099484,"GPR17"
13158,284232,-3.90945881652953,3.94633277184351,13.570669955089,0.000229747363668377,0.0213853365722794,"ANKRD20A9P"
13341,2849,9.92414234623329,4.6548156227078,11.7791806542452,0.00059896842057682,0.0419712898150998,"GPR26"
13344,284904,-8.12839370182694,1.70521318708223,17.0444500061239,3.6514940871154e-05,0.00531620087862596,"SEC14L4"
13571,285962,-4.01976657397538,6.07983789860668,17.4796062366288,2.90406206495339e-05,0.004432597958281,"WEE2-AS1"
13580,286,-4.36988861878582,7.36675736159026,12.3261588820098,0.000446654553294499,0.034576203148126,"ANK1"
13811,2876,-4.01274592568387,6.48813780326562,16.0904965600691,6.03863122056374e-05,0.00772237569152273,"GPX1"
14009,290,-7.44676125125131,3.88252242019614,35.5455936257547,2.4915000937411e-09,1.76834219153274e-06,"ANPEP"
14012,29015,-3.91684715918588,4.36841440908092,16.0801010090382,6.07187154995457e-05,0.00773006427368656,"SLC43A3"
