"","ENTREZID","logFC","logCPM","LR","PValue","FDR","SYMBOL"
"125","100101440",-1.01579504102394,0.810644052552929,0.280664630764015,0.596265924787794,1,"PMS2P7"
"126","100101467",0.359930110426748,3.71941423734644,0.10987058020789,0.740291526502601,1,"ZSCAN30"
"127","100101478",3.47035859654571,0.0731728086727118,2.43951573299698e-07,0.999605913229816,1,"H2BW3P"
"128","100101490",-0.427563230300211,1.47318265189881,0.0638832631332302,0.800460336431909,1,"MCTS2"
"129","100101938",0,-0.399843666772083,0,1,1,"ANKRD26P3"
"130","10011",-0.65768440857306,3.42536816112569,0.431485757232728,0.5112608089692,1,"SRA1"
"131","100113378",-0.834315164244816,2.13637734752,0.414684499112345,0.519601363795899,1,"SNORD119"
"132","100113379",2.56426995762453e-05,-0.0602691608666997,-1.90135540831507e-12,1,1,"SNORD121A"
"133","100113380",0,-0.399843666772083,0,1,1,"SNORD125"
"134","100113381",4.63816329405099,0.581301144704745,1.36148953686167,0.243279498610766,0.870583593382803,"SNORD19B"
"135","100113382",-0.270176144193876,3.53808243029056,0.0629593375425974,0.801878285843024,1,"SNORD105B"
"136","100113384",0,-0.399843666772083,0,1,1,"SNORD123"
"137","100113386",5.60254031227254,0.974267841456905,1.85619176800632,0.173064969007615,0.770417528276414,"UCKL1-AS1"
"138","100113389",6.48721679894784,2.09010335187489,3.42516863478669,0.0642096851898885,0.50984169934203,"SNORD127"
"139","100113391",0,-0.399843666772083,0,1,1,"SNORD126"
"140","100113392",2.63510873394935,0.00921140792968662,0.373489950446415,0.541108064721741,1,"SNORD11B"
"141","100113393",6.54102358103175,2.10698315632876,4.21891406292154,0.0399757373485594,0.406195842278312,"SNORD12B"
"142","100113402",-1.19396681494738,0.751204432264722,0.387789822520219,0.533463458623695,1,"SNORD111B"
"143","100113403",2.6298310497837,-0.139635923087805,-1.08395519742644e-08,1,1,"LIN28B-AS1"
"144","100113404",0,-0.399843666772083,0,1,1,"LINC00583"
"145","100113407",2.57498452555695,5.34843885264863,5.44778150327116,0.0195931925560955,0.2997040607045,"TMEM170B"
"146","100124412",0,-0.399843666772083,0,1,1,"FAM138E"
"147","100124516",4.54376790387607,0.445822213099715,1.11809733850262,0.290328515315972,0.932009472301919,"SNORD58C"
"148","100124533",-2.78636518428852,0.507447024989732,1.64644937609354,0.199442879735979,0.81101401260151,"SCARNA27"
"149","100124534",0,-0.399843666772083,0,1,1,"SNORA84"
"150","100124535",-2.30385218888434,0.36069626305322,0.942433136423812,0.331652885806794,0.973191258713684,"SNORA36C"
"151","100124536",-2.61311283740948,2.01823455758349,3.97454992044049,0.0461927966426321,0.431386018646159,"SNORA38B"
"152","100124537",3.17258470324741,-0.0451627894585558,0.509344849841693,0.475422603174704,1,"SNORA70B"
"153","100124538",1.9837770639329e-05,-0.220206995952971,-2.14550548882711e-12,1,1,"SNORA70C"
"154","100124539",-5.45603499683554,0.0802397973267824,4.25050181176238,0.0392387343300223,0.401436997343904,"SNORA11B"
"155","100124540",0,-0.399843666772083,0,1,1,"SNORA11C"
"156","100124541",-0.799309906863245,3.3517149324321,0.590344529255886,0.442285922313053,1,"SNORA11D"
"157","100124700",0,-0.399843666772083,0,1,1,"HOTAIR"
"158","100125288",5.09766773012705,0.713487511826381,1.55149624824273,0.212914689992609,0.831794144611281,"ZGLP1"
"159","100125556",-1.30769913162733,0.717901915177942,0.44406356042055,0.505167640560066,1,"FAM86JP"
"160","100126270",3.17258470324741,-0.0451627894585558,0.509344849841693,0.475422603174704,1,"FMR1-AS1"
"161","100126296",0,-0.399843666772083,0,1,1,"MIR298"
"162","100126297",0,-0.399843666772083,0,1,1,"MIR300"
"163","100126299",-5.61449834780401,2.18215400970661,12.8278053191964,0.000341506092745222,0.0283489999211604,"VTRNA2-1"
"164","100126301",0,-0.399843666772083,0,1,1,"MIR509-2"
"165","100126302",0,-0.399843666772083,0,1,1,"MIR450B"
"166","100126303",0,-0.399843666772083,0,1,1,"MIR890"
"167","100126304",0,-0.399843666772083,0,1,1,"MIR891B"
"168","100126306",0,-0.399843666772083,0,1,1,"MIR888"
"169","100126307",0,-0.399843666772083,0,1,1,"MIR892B"
"170","100126308",0,-0.399843666772083,0,1,1,"MIR541"
"171","100126309",0,-0.399843666772083,0,1,1,"MIR875"
"172","100126310",-3.56380148665191,0.182782595982775,2.66152346042233,0.102802228849178,0.611087788322477,"MIR876"
"173","100126311",0,-0.399843666772083,0,1,1,"MIR147B"
"174","100126313",1.87805307310348,-0.262495268195724,2.3622071867576e-07,0.999612207828456,1,"MIR744"
"175","100126314",0,-0.399843666772083,0,1,1,"MIR877"
"176","100126315",0,-0.399843666772083,0,1,1,"MIR665"
"177","100126316",0,-0.399843666772083,0,1,1,"MIR873"
"178","100126317",0,-0.399843666772083,0,1,1,"MIR374B"
"179","100126318",0,-0.399843666772083,0,1,1,"MIR301B"
"180","100126319",0,-0.399843666772083,0,1,1,"MIR216B"
"181","100126320",0,-0.399843666772083,0,1,1,"MIR920"
"182","100126321",0,-0.399843666772083,0,1,1,"MIR922"
"183","100126323",0,-0.399843666772083,0,1,1,"MIR924"
"184","100126324",0,-0.399843666772083,0,1,1,"MIR934"
"185","100126325",0,-0.399843666772083,0,1,1,"MIR935"
"186","100126326",0,-0.399843666772083,0,1,1,"MIR936"
"187","100126327",0,-0.399843666772083,0,1,1,"MIR938"
"188","100126328",1.9837770639329e-05,-0.220206995952971,-2.14550548882711e-12,1,1,"MIR940"
"189","100126329",0,-0.399843666772083,0,1,1,"MIR941-1"
"190","100126330",0,-0.399843666772083,0,1,1,"MIR941-4"
"191","100126331",0,-0.399843666772083,0,1,1,"MIR942"
"192","100126332",0,-0.399843666772083,0,1,1,"MIR943"
"193","100126333",0,-0.399843666772083,0,1,1,"MIR708"
"194","100126334",0,-0.399843666772083,0,1,1,"MIR885"
"195","100126335",0,-0.399843666772083,0,1,1,"MIR543"
"196","100126336",0,-0.399843666772083,0,1,1,"MIR208B"
"197","100126337",0,-0.399843666772083,0,1,1,"MIR509-3"
"198","100126338",0,-0.399843666772083,0,1,1,"MIR937"
"199","100126339",0,-0.399843666772083,0,1,1,"MIR941-2"
"200","100126340",0,-0.399843666772083,0,1,1,"MIR944"
"201","100126341",0,-0.399843666772083,0,1,1,"MIR891A"
"202","100126342",0,-0.399843666772083,0,1,1,"MIR892A"
"203","100126343",0,-0.399843666772083,0,1,1,"MIR874"
"204","100126345",0,-0.399843666772083,0,1,1,"MIR889"
"205","100126346",0,-0.399843666772083,0,1,1,"MIR190B"
"206","100126347",0,-0.399843666772083,0,1,1,"MIR887"
"207","100126348",3.47035859654571,0.0731728086727118,2.43951573299698e-07,0.999605913229816,1,"MIR760"
"208","100126349",0,-0.399843666772083,0,1,1,"MIR921"
"209","100126350",0,-0.399843666772083,0,1,1,"MIR933"
"210","100126351",0,-0.399843666772083,0,1,1,"MIR939"
"211","100126352",0,-0.399843666772083,0,1,1,"MIR941-3"
"212","100126354",0,-0.399843666772083,0,1,1,"MIR297"
"213","100126355",0,-0.399843666772083,0,1,1,"MIR365A"
"214","100126356",0,-0.399843666772083,0,1,1,"MIR365B"
"215","100126447",1.9837770639329e-05,-0.220206995952971,-2.14550548882711e-12,1,1,"LOC100126447"
"216","100126476",3.17258470324741,-0.0451627894585558,0.509344849841693,0.475422603174704,1,NA
"217","100126481",0,-0.399843666772083,0,1,1,NA
"218","100126484",0,-0.399843666772083,0,1,1,NA
"219","100126488",-0.23381365477367,1.05454224066322,0.0136476339942001,0.907000247092594,1,NA
"220","100126510",0,-0.399843666772083,0,1,1,NA
"221","100126512",3.97870239443618,0.253528510435926,1.93257919975331e-07,0.999649241101186,1,NA
"222","100126514",1.9837770639329e-05,-0.220206995952971,-2.14550548882711e-12,1,1,NA
"223","100126517",5.64070322890864,1.16581213172853,2.4532341453849,0.117282998370691,0.651725254207067,NA
"224","100126520",0,-0.399843666772083,0,1,1,NA
"225","100126533",0,-0.399843666772083,0,1,1,NA
"226","100126693",1.9837770639329e-05,-0.220206995952971,-2.14550548882711e-12,1,1,"LINC00322"
"227","100126780",0,-0.399843666772083,0,1,1,"SNAR-G1"
"228","100126781",0,-0.399843666772083,0,1,1,"SNAR-F"
"229","100126784",0.538937397682374,5.06634145113617,0.195645099660472,0.658259200167707,1,"LEISA1"
"230","100126791",3.81304021051532,0.281472412514503,0.862490162768428,0.353042774271944,0.983260347859815,"EGOT"
"231","100126793",-0.554868346270468,0.980049660741475,0.0863823916952733,0.768827581847902,1,"GHRLOS"
"232","100126798",2.6298310497837,-0.139635923087805,-1.08395519742644e-08,1,1,"SNAR-A1"
"233","100126799",2.56426995762453e-05,-0.0602691608666997,-1.90135540831507e-12,1,1,"SNAR-A2"
"234","100126800",-4.48853209138555,-0.148605357641565,2.70785499048996,0.0998551766510175,0.606460905927903,"SNAR-A12"
"235","100127206",0,-0.399843666772083,0,1,1,"MINAR2"
"236","100127888",0,-0.399843666772083,0,1,1,"SLCO4A1-AS1"
"237","100127889",5.19710549318324,0.771869809598564,1.59353177415341,0.206822266702221,0.822344696302854,NA
"238","100127967",-5.45603499683554,0.0802397973267824,4.25050181176238,0.0392387343300223,0.401436997343904,"KRT73-AS1"
"239","100127983",-2.41566218731639,1.41981306560827,2.54612279332604,0.11056528671671,0.632591892887212,"C8orf88"
"240","100128006",3.74365342024786,0.16675849887897,4.07484097842758e-07,0.999490674565355,1,"ARHGAP44-AS1"
"241","100128023",0,-0.399843666772083,0,1,1,"DPPA2P3"
"242","100128025",0,-0.399843666772083,0,1,1,"WWTR1-AS1"
"243","100128054",3.33525671226865,0.151354083073934,0.582623471039142,0.445285837438443,1,"PLCE1-AS1"
"244","100128055",2.56426995762453e-05,-0.0602691608666997,-1.90135540831507e-12,1,1,"SMARCA5-AS1"
"245","100128071",4.39700964857217,1.1965381117686,1.20688832352454,0.271949258202381,0.911927256357542,"FAM229A"
"246","100128076",0,-0.399843666772083,0,1,1,"LOC100128076"
"247","100128081",0,-0.399843666772083,0,1,1,"JAZF1-AS1"
"248","100128098",0,-0.399843666772083,0,1,1,"ST8SIA6-AS1"
"249","100128108",4.96354186711973,0.621594871399091,1.40036951684791,0.236661711283505,0.862828149767014,"UBE2Q2P13"
"250","100128124",0,-0.399843666772083,0,1,1,"HGC6.3"
"251","100128126",3.82656240000957,0.158278822773233,0.760838832573946,0.383066139581441,1,"STAU2-AS1"
"252","100128127",3.91650345257571,0.207511767174079,0.412879190736411,0.520511747563393,1,"ADGRA1-AS1"
"253","100128139",0,-0.399843666772083,0,1,1,"LINC01233"
"254","100128164",-0.478957884174807,2.2963154561857,0.136983269523183,0.711298661859941,1,"FHL1P1"
"255","100128176",-2.30800842618194,0.651862525056668,0.995927962555841,0.318297831925215,0.959999516451381,"UST-AS1"
"256","100128191",3.11260880583626,-0.0284374054034473,-4.92785965160144e-07,1,1,"TMPO-AS1"
"257","100128233",0,-0.399843666772083,0,1,1,"LINC02324"
"258","100128239",-2.78679060172497,0.609834476015892,1.64164034392389,0.200100554925948,0.812363042234757,"LINC02731"
"259","100128252",0.0693033381526683,3.36362464202153,0.00393956463586331,0.949952879356226,1,"ZNF667-AS1"
"260","100128264",4.90330620705261,0.673520682460574,-3.00504338825778e-07,1,1,"HTR5A-AS1"
"261","100128285",-0.502042632113753,0.426454112804376,1.65405183452577,0.198408350733794,0.809753038458411,"DNM1P35"
"262","100128288",6.52887106212686,1.88594073250212,4.20549757102004,0.0402931518134174,0.407524966149953,"LOC100128288"
"263","100128292",5.7290743564424,1.44338841918611,2.76686045398523,0.0962347445890573,0.606460905927903,"DLG5-AS1"
"264","100128317",4.13372457050724,0.242074005795842,0.905450986592714,0.341324293906752,0.97413992436412,"LOC100128317"
"265","100128327",0,-0.399843666772083,0,1,1,"TRAPPC3L"
"266","100128338",4.51427647703214,0.481588022179074,-1.72622452311876e-07,1,1,NA
"267","100128361",1.13937127735095,1.13429878757487,0.256679362107588,0.612410711014695,1,"LOC100128361"
"268","100128378",0,-0.399843666772083,0,1,1,"LINC00696"
"269","100128385",4.13372457050724,0.242074005795842,0.905450986592714,0.341324293906752,0.97413992436412,"FAM225B"
"270","100128398",2.26014999588677,2.1280410842204,1.72377746919955,0.189207527031865,0.794615634975539,"ZNF606-AS1"
"271","100128420",3.33509831925076,0.0164534767736726,0.450169687236131,0.502254383617589,1,"LINC00892"
"272","100128494",-1.48982341861517,1.61231665621756,0.753303968686943,0.385432186600756,1,"LOC100128494"
"273","100128496",0,-0.399843666772083,0,1,1,"SCP2D1-AS1"
"274","100128505",5.40164375360416,0.863742311895851,1.7554910488205,0.185187917505493,0.788776332221716,"ASTN2-AS1"
"275","100128511",4.48368553988094,0.446240500282746,0.367242144406604,0.544511386776806,1,"NEBL-AS1"
"276","100128531",6.84305139414445,2.18454720159028,5.12802576845362,0.0235424910255214,0.336182512264616,"KIAA1671-AS1"
"277","100128553",1.8921626720717,0.179668431340413,0.215878566419363,0.642198348936248,1,"CTAGE4"
"278","100128554",4.35688666404379,0.410248399110008,7.2173630921471e-08,0.999785647114825,1,"LINC02347"
"279","100128560",3.11260880583626,-0.0284374054034473,-4.92785965160144e-07,1,1,"MYHAS"
"280","100128568",-1.31521298356788,0.594916282284792,0.280358424058192,0.596466389124844,1,"RANBP3-DT"
"281","100128569",0.541765956306067,0.962424691811123,0.0572886062526439,0.810833899849657,1,"TEKTIP1"
"282","100128573",1.87805307310348,-0.262495268195724,2.3622071867576e-07,0.999612207828456,1,NA
"283","100128590",6.4010949110026,1.77077156602489,3.91665797273047,0.0478098346964616,0.440117122902901,"SLC8A1-AS1"
"284","100128593",0,-0.399843666772083,0,1,1,"LOC100128593"
"285","100128627",5.01709241220102,0.847086216927602,1.75520846406842,0.185223293414073,0.788776332221716,"CDC42P3"
"286","100128640",3.5137413395178,0.42645742462973,0.708100347253818,0.400075172780693,1,"ACVR2B-AS1"
"287","100128653",-3.76049639012204,0.991582745335466,3.60777561433803,0.0575099925686634,0.484555252665937,"LOC100128653"
